gene,UMAP1,UMAP2,cluster
ANKLE1,9.269343,8.530815,444
ANKMY1,10.99479,9.55598,445
ANKMY2,-2.2271569,6.3020086,443
ANKRA2,6.8178005,2.1137297,446
ANKRD1,-6.4573774,-1.399088,418
ANKRD10,11.205827,5.4772143,233
ANKRD11,2.1687448,1.9305062,447
ANKRD12,11.872108,4.5758243,448
ANKRD13A,2.626227,3.6596339,449
ANKRD13B,12.482846,11.1358795,450
ANKRD13D,9.232088,4.2694545,451
ANKRD17,10.941009,8.958797,452
ANKRD18A,2.2900414,14.386022,325
ANKRD2,-4.136947,4.5224304,453
ANKRD22,-1.4029241,14.139238,373
ANKRD23,14.237397,8.207347,454
ANKRD24,1.9246848,6.7172456,455
ANKRD27,3.6146398,5.1278996,335
ANKRD28,3.1542666,0.113604546,456
ANKRD29,-6.661729,2.9080453,457
ANKRD30B,-4.361358,0.39892057,351
ANKRD31,4.167635,-2.5789719,458
ANKRD33B,1.1246766,2.3259702,231
ANKRD34A,7.7048106,-5.786205,459
ANKRD34B,0.79523754,-0.0068550482,460
ANKRD35,-3.0266209,7.552155,461
ANKRD37,4.5052013,14.1754265,462
ANKRD39,3.1126492,-0.9909828,463
ANKRD40,3.674411,4.6929398,282
ANKRD42,3.7652423,-2.127326,114
ANKRD44,12.04456,-1.3709562,51
ANKRD46,10.6513405,10.100282,464
ANKRD49,13.243597,7.154086,465
ANKRD50,0.98668903,2.890669,466
ANKRD52,4.3838663,-6.3854733,50
ANKRD53,1.3583493,-0.43431607,4
ANKRD54,9.797351,1.734265,467
ANKRD6,-0.67810917,3.3658366,468
ANKRD65,0.78963226,7.1324534,242
ANKRD7,9.61385,-2.8873394,469
ANKRD9,-3.5910428,5.3408012,470
ANKS1A,14.294862,-1.09988,47
ANKS1B,6.1452036,-1.0945792,471
ANKS3,11.694229,-3.3702252,472
ANKS4B,2.679781,12.045462,473
ANKS6,2.7168567,5.1024594,474
ANKZF1,12.512249,13.07692,475
ANLN,-5.515527,-0.44486853,158
ANO1,-1.2052664,13.221048,146
ANO10,-6.831472,-4.694543,476
ANO4,-5.106516,0.6214977,477
ANO5,6.5345535,-2.6566114,478
ANO6,1.5075552,-5.8025026,479
ANO7,-1.4852382,-2.1553159,480
ANO8,7.429573,9.980319,155
ANO9,3.50477,15.519515,481
ANOS1,2.3373957,0.47163278,482
ANP32A,14.360986,11.971345,483
ANP32B,11.252625,6.229433,484
ANP32D,12.383545,-3.0083272,485
ANP32E,11.540693,-0.67418426,486
ANPEP,-3.2625532,-4.52242,487
ANTKMT,9.677765,6.877326,488
ANTXR1,-0.8010325,-5.6249013,489
ANTXR2,-4.237808,1.7444978,490
ANTXRL,2.1352782,6.2949424,491
ANXA1,-6.126214,-4.3749003,189
ANXA10,-3.3576362,-2.6093495,492
ANXA11,-4.217795,9.243316,493
ANXA13,0.85290986,4.098593,494
ANXA2,-0.889644,-3.7816656,81
ANXA2R,6.529696,-3.2723489,495
ANXA3,-2.992495,12.283512,496
ANXA4,-3.285978,7.380841,497
ANXA5,-2.6506531,-5.4626927,170
ANXA6,6.0548673,1.2428498,498
ANXA9,-0.26131746,12.599549,499
AOAH,5.48178,7.015526,500
AOC1,0.14494053,9.816943,501
AOC2,13.273769,-2.6099758,502
AOC3,15.027652,6.7417955,110
AOPEP,-3.8318365,-2.2837584,503
AOX1,-5.7256627,-4.9517984,504
AP1AR,11.97455,8.283472,505
AP1B1,8.209638,6.9551682,506
AP1G1,3.2440577,6.1360674,211
AP1G2,0.20546828,14.083882,507
AP1M1,6.068956,1.2221867,498
AP1M2,-3.965905,12.264721,508
AP1S1,-4.776482,5.0726476,378
AP1S2,8.387271,11.018397,509
AP1S3,2.0663817,11.726348,510
AP2A1,0.3649277,5.5713425,511
AP2A2,-3.7110798,1.9256665,237
AP2B1,1.6305131,-3.0399003,512
AP2M1,1.5272182,-8.328345,513
AP2S1,0.8959905,-9.052475,514
AP3B1,3.6442235,-2.7203329,515
AP3B2,8.408562,-2.8092818,216
AP3D1,5.45036,2.8789003,516
AP3M1,6.948852,2.2860692,517
AP3M2,6.9139647,2.2866619,517
AP3S1,3.7004337,-2.7782137,515
AP3S2,8.817373,-0.7861459,518
AP4B1,9.41453,5.278609,519
AP4M1,10.750089,-2.1850233,41
AP4S1,8.599926,9.016174,520
AP5B1,6.7779937,6.011769,521
AP5M1,7.143379,0.7351057,522
AP5S1,1.9403225,3.623247,523
AP5Z1,6.2691293,-3.5868778,524
APAF1,13.384796,2.1028402,425
APBA1,-2.00658,-0.057333108,525
APBA2,10.35816,1.1412785,229
APBB1,2.492074,-1.1446222,526
APBB1IP,-3.3068185,1.6742407,527
APBB2,-2.4540493,1.0026648,528
APBB3,10.65213,2.3491356,529
APC,8.522095,0.7798225,530
APC2,6.748492,2.919441,531
APCDD1,2.95937,5.6904526,532
APCDD1L,3.7761288,0.30065882,533
APCS,-4.4791355,6.597496,297
APEH,5.8362594,11.431772,534
APEX1,16.756762,2.0399551,535
APEX2,3.7147722,1.0789616,380
APH1A,13.586203,6.7649946,536
APH1B,3.662508,0.5605737,281
API5,11.130363,-1.4033247,537
APIP,11.136401,-1.4084604,537
APLN,0.6823901,-5.9521456,12
APLNR,6.2080245,9.7088995,538
APLP1,4.8367276,-9.320816,539
APLP2,-7.2828526,5.6057835,540
APMAP,-5.3947186,-0.8220162,58
APOA1,6.201795,3.060242,541
APOA2,14.555689,4.5165353,156
APOBEC3B,-4.6571236,0.2863133,542
APOBEC3C,6.2770686,1.316802,543
APOBEC3D,7.404378,9.138136,544
APOBEC3G,6.2777724,1.3164592,543
APOBEC3H,-0.24394663,10.26018,545
APOBR,11.04418,12.387987,546
APOC1,0.6045316,-2.0182307,547
APOC2,11.212487,5.477314,233
APOD,5.1462703,8.277565,548
APOE,3.3493924,5.463423,549
APOH,1.9655104,5.380899,550
APOL1,-3.9284177,3.2750044,551
APOL2,-3.9567475,-0.5326573,552
APOL3,-1.9278607,8.224616,553
APOL6,-1.9094112,8.253853,553
APOLD1,-1.0789167,0.82175773,554
APOM,4.0018005,-3.1813018,555
APOO,2.9445033,2.190632,556
APOOL,7.9488726,0.70750487,214
APP,-1.2835578,-2.4529917,557
APPBP2,7.6814656,-7.2228565,558
APPL1,8.400788,2.069541,559
APPL2,0.13786657,1.4383848,560
APRT,4.558951,4.652108,561
AQP1,1.4147117,5.1889687,266
AQP10,6.149404,1.7216171,562
AQP12B,13.347242,3.5869749,210
AQP3,-4.2999077,11.467509,188
AQP5,4.829915,14.289165,563
AQP6,3.4843087,7.3983293,13
AQP7,2.707403,12.076906,473
AR,5.0012193,-1.7185229,147
ARAP1,2.837886,4.366657,564
ARAP2,2.450966,15.103661,565
ARAP3,-3.002393,1.3884889,566
ARB2A,5.8021383,-3.9957416,567
ARC,2.8349743,-2.9130313,568
AREG,-3.611831,12.837502,569
AREL1,4.3869247,-2.4110029,570
ARF1,7.254106,10.100499,571
ARF3,-2.0001562,3.3955207,28
