Models,Expression.only.CV.cor,Multiomics.CV.cor
CEP120,0.341171857,0.358829589
BRAP,0.328516534,0.358789506
NUP153,0.329518655,0.358666373
SSB,0.366184266,0.358594437
DMXL1,0.396862256,0.35831328
CHMP7,0.37022936,0.358028757
UBAP1,0.361615479,0.357423148
ARFRP1,0.310365299,0.357246465
IPO9,0.386800608,0.357244544
ATP6V1D,0.294189708,0.357220486
LSM5,0.334666186,0.357075965
IKBKG,0.355659346,0.357069482
C1D,0.360718409,0.356844149
TTF1,0.367209468,0.356717038
ERCC3,0.304873828,0.356704865
STIL,0.314302921,0.356236175
KIF18B,0.354796072,0.356150466
EIF3H,0.367455818,0.356102895
MRPS17,0.244739603,0.35603482
ZNFX1,0.309372471,0.355907009
SMARCA2,0.223723079,0.355695684
ALG1,0.335394533,0.35559204
VPS53,0.292248196,0.355380442
MAP3K7,0.346639442,0.355378439
TIMM23,0.281756892,0.355298526
CRTC3,0.362076564,0.355082137
VIRMA,0.340204457,0.354659024
STAG1,0.363909295,0.354262457
DPM2,0.368024343,0.353641786
ATP5F1A,0.393022084,0.353538282
DNAJC9,0.353411239,0.353411061
GMNN,0.379299304,0.353224502
LIAS,0.310659695,0.352804289
HNRNPL,0.344770946,0.352798697
SF3B6,0.300462582,0.352698518
DCPS,0.351318271,0.352691731
PSMG1,0.361795544,0.352613507
LMNA,0.371077839,0.35217191
RPL22L1,0.307292763,0.352158805
TMX2,0.287028884,0.352046152
EXOSC1,0.2789247,0.351757238
ATRN,0.345395088,0.351541508
PKM,0.370180237,0.351476335
GLRX3,0.340215504,0.351444129
XRN1,0.317704719,0.351443825
CXXC1,0.315447914,0.351125153
PPP2R3C,0.367301054,0.350982171
TOE1,0.366785014,0.350871408
HMGCR,0.371713377,0.350770482
PPIE,0.308037255,0.350503312
ALAD,0.352126522,0.350348341
FTSJ3,0.298210311,0.350272775
ATP2B1,0.39445872,0.350234715
NDC1,0.338823545,0.34978255
RPIA,0.402643027,0.349367142
UBE2K,0.351091658,0.349339391
GFI1B,0.281180616,0.349145625
TUBGCP6,0.244641263,0.349101881
TAF6L,0.30864542,0.348552461
ALG5,0.336994557,0.34845719
ZNF793,0.269066741,0.348137115
TKT,0.336674441,0.348051678
MET,0.403389232,0.347990044
XYLT2,0.337276086,0.347958844
MED23,0.377996716,0.347897673
LENG1,0.280528951,0.347891415
CCDC22,0.347376117,0.347769397
PSMG2,0.352525248,0.347172094
WDR4,0.351709227,0.347142894
MTA2,0.380654503,0.347139754
BIRC2,0.35984698,0.346554634
RBBP7,0.373285657,0.346463328
ZNF335,0.33925228,0.3464044
TMEM189,0.36988056,0.346034038
GLS,0.387016275,0.345999101
AZIN1,0.338576101,0.345960938
WARS2,0.318206501,0.345908434
CMPK1,0.328582947,0.345768822
TGFBRAP1,0.321090248,0.345671004
MAX,0.330627558,0.345638502
TUBA1C,0.332030397,0.345595125
HSD17B10,0.382370107,0.3455837
CARM1,0.301255557,0.345570164
DENND4C,0.389766032,0.345548632
FBXL12,0.32782753,0.345417835
FCHO2,0.337510802,0.345403727
CYB5R4,0.365453407,0.345389054
PRKRA,0.339505349,0.345056936
SRP9,0.303187199,0.344543176
EXOC2,0.315453234,0.344064115
ASNA1,0.310744451,0.343875065
MBTPS1,0.367255438,0.343825006
FIS1,0.3555941,0.343742857
PTDSS1,0.362430152,0.343591515
NRDC,0.353184792,0.343465285
NKX2,0.35176763,0.343363084
MED7,0.200513364,0.34334079
DICER1,0.354901221,0.343246935
SP1,0.330101944,0.343237568
RELB,0.366300231,0.343237214
CFAP20,0.238970144,0.343200038
ZMYND8,0.365142853,0.342787674
KDM5C,0.32147114,0.342751704
HSD17B12,0.392005891,0.342480995
MRPL23,0.378912388,0.342164784
LCMT1,0.374400319,0.342091428
DYNLL1,0.368896727,0.342090604
POP1,0.349988272,0.342065621
YBX1,0.363820369,0.341980515
NSMCE4A,0.393693045,0.341843473
MANF,0.332123555,0.341832479
USP1,0.343934949,0.341587531
CEP135,0.332603929,0.341585508
MED28,0.317630974,0.341501185
CPT1A,0.318848089,0.341461533
POLR1E,0.324640016,0.341060554
FAM32A,0.287667362,0.341043478
OSBP,0.291655419,0.340801398
TADA1,0.327093392,0.340667085
ALYREF,0.326724003,0.340235964
UFSP2,0.372508001,0.340154422
UBE2S,0.328124205,0.340113493
CCP110,0.321032676,0.340090782
GET4,0.373201539,0.339962473
YEATS2,0.268641255,0.339948521
MBD3,0.281646158,0.339882492
NCKAP1L,0.313637009,0.339766887
ASF1B,0.356225173,0.339437029
FEN1,0.320171171,0.339336834
ACOX1,0.307838033,0.339224699
ARPC2,0.313860066,0.338645534
DET1,0.357463424,0.338531829
TMEM30A,0.314578613,0.338258141
